SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed,Exam Pass rate
EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,13,18,0,0.0
WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,49,49,0,0.0
BROOKLYN STUDIO SECONDARY SCHOOL,42,43,17,0.395
LIBERATION DIPLOMA PLUS,0,0,0,N/A
MIDWOOD HIGH SCHOOL,788,1226,706,0.576
JAMES MADISON HIGH SCHOOL,263,378,215,0.569
SHEEPSHEAD BAY HIGH SCHOOL,29,45,13,0.289
LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,386,651,398,0.611
BROOKLYN COLLEGE ACADEMY,0,0,0,N/A
BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,0,0,0,N/A
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,29,31,0,0.0
BROOKLYN DEMOCRACY ACADEMY,0,0,0,N/A
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,0,0,0,N/A
METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,0,0,0,N/A
TEACHERS PREPARATORY HIGH SCHOOL,41,60,0,0.0
ACADEMY OF FINANCE AND ENTERPRISE,135,208,36,0.173
HIGH SCHOOL OF APPLIED COMMUNICATION,67,69,6,0.087
CIVIC LEADERSHIP ACADEMY,40,65,13,0.2
PAN AMERICAN INTERNATIONAL HIGH SCHOOL,0,0,0,N/A
BARD HIGH SCHOOL EARLY COLLEGE II,0,0,0,N/A
NEWTOWN HIGH SCHOOL,213,269,132,0.491
YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,0,0,0,N/A
GROVER CLEVELAND HIGH SCHOOL,150,223,92,0.413
MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,0,0,0,N/A
INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,0,0,0,N/A
HIGH SCHOOL FOR ARTS AND BUSINESS,257,386,77,0.199
"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",0,0,0,N/A
QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,0,0,0,N/A
AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,152,172,115,0.669
VOYAGES PREPARATORY,0,0,0,N/A
"QUEENS SCHOOL OF INQUIRY, THE",42,42,19,0.452
FLUSHING INTERNATIONAL HIGH SCHOOL,0,0,0,N/A
EAST0WEST SCHOOL OF INTERNATIONAL STUDIES,0,0,0,N/A
WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,104,130,43,0.331
JOHN BOWNE HIGH SCHOOL,336,548,239,0.436
FLUSHING HIGH SCHOOL,370,550,133,0.242
FLUSHING YABC,0,0,0,N/A
TOWNSEND HARRIS HIGH SCHOOL,758,1249,937,0.75
QUEENS ACADEMY HIGH SCHOOL,0,0,0,N/A
ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,95,151,43,0.285
NORTH QUEENS COMMUNITY HIGH SCHOOL,0,0,0,N/A
BENJAMIN N. CARDOZO HIGH SCHOOL,722,1294,873,0.675
FRANCIS LEWIS HIGH SCHOOL,819,1191,712,0.598
MARTIN VAN BUREN HIGH SCHOOL,62,68,8,0.118
BAYSIDE HIGH SCHOOL,734,1056,493,0.467
"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",34,36,11,0.306
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,12,12,0,0.0
CHANNEL VIEW SCHOOL FOR RESEARCH,38,38,13,0.342
"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",0,0,0,N/A
ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,62,112,17,0.152
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,10,10,0,0.0
SCHOLARS' ACADEMY,77,138,92,0.667
AUGUST MARTIN HIGH SCHOOL,0,0,0,N/A
BEACH CHANNEL HIGH SCHOOL,0,0,0,N/A
RICHMOND HILL HIGH SCHOOL,135,164,33,0.201
JOHN ADAMS HIGH SCHOOL,221,287,57,0.199
"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",134,180,39,0.217
YORK EARLY COLLEGE ACADEMY,0,0,0,N/A
QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,67,110,11,0.1
HILLSIDE ARTS & LETTERS ACADEMY,0,0,0,N/A
QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,0,0,0,N/A
JAMAICA GATEWAY TO THE SCIENCES,8,8,6,0.75
FOREST HILLS HIGH SCHOOL,882,1235,629,0.509
JAMAICA HIGH SCHOOL,0,0,0,N/A
HILLCREST HIGH SCHOOL,216,317,69,0.218
THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,221,309,114,0.369
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,115,146,67,0.459
QUEENS METROPOLITAN HIGH SCHOOL,15,15,6,0.4
QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,231,427,345,0.808
HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,19,19,0,0.0
"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",18,23,0,0.0
QUEENS PREPARATORY ACADEMY,16,16,0,0.0
PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,18,20,0,0.0
EXCELSIOR PREPARATORY HIGH SCHOOL,0,0,0,N/A
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,19,32,0,0.0
PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,71,99,8,0.081
CAMBRIA HEIGHTS ACADEMY,0,0,0,N/A
"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",0,0,0,N/A
"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",0,0,0,N/A
"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",0,0,0,N/A
HUMANITIES & ARTS MAGNET HIGH SCHOOL,0,0,0,N/A
"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",0,0,0,N/A
ACADEMY FOR CAREERS IN TELEVISION AND FILM,54,72,40,0.556
WILLIAM CULLEN BRYANT HIGH SCHOOL,231,326,156,0.479
LONG ISLAND CITY HIGH SCHOOL,576,1035,228,0.22
FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,135,176,83,0.472
INFORMATION TECHNOLOGY HIGH SCHOOL,46,47,17,0.362
NEWCOMERS HIGH SCHOOL,163,203,153,0.754
ACADEMY OF AMERICAN STUDIES,104,156,100,0.641
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,0,0,0,N/A
CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,66,74,26,0.351
GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,31,48,9,0.188
THE MICHAEL J. PETRIDES SCHOOL,174,313,45,0.144
NEW DORP HIGH SCHOOL,143,185,76,0.411
PORT RICHMOND HIGH SCHOOL,210,340,86,0.253
CURTIS HIGH SCHOOL,426,510,113,0.222
TOTTENVILLE HIGH SCHOOL,424,861,335,0.389
SUSAN E. WAGNER HIGH SCHOOL,373,589,221,0.375
CONCORD HIGH SCHOOL,0,0,0,N/A
RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,0,0,0,N/A
STATEN ISLAND TECHNICAL HIGH SCHOOL,595,1098,977,0.89
YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,0,0,0,N/A
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,27,47,6,0.128
EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,19,19,0,0.0
BUSHWICK SCHOOL FOR SOCIAL JUSTICE,0,0,0,N/A
ACADEMY OF URBAN PLANNING,36,43,20,0.465
ALL CITY LEADERSHIP SECONDARY SCHOOL,24,43,16,0.372
BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,39,44,19,0.432
BUSHWICK COMMUNITY HIGH SCHOOL,0,0,0,N/A
P.S. 371 0 LILLIAN L. RASHKIS,0,0,0,N/A
P.S. 035,0,0,0,N/A
P.S. Q256,0,0,0,N/A
P.S. Q811,0,0,0,N/A
SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,0,0,0,N/A
P.S. X012 LEWIS AND CLARK SCHOOL,0,0,0,N/A
J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,0,0,0,N/A
SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,0,0,0,N/A
GED PLUS 0 CITYWIDE,0,0,0,N/A
PHOENIX ACADEMY,0,0,0,N/A
